"Sample","Acilius sulcatus","Acroloxus lacustris","Aeshna","Aeshna cyanea","Aeshna grandis","Agabus","Agabus arcticus","Agabus bipustulatus","Agabus sturmii","Alboglossiphonia heteroclita","Anacaena limbata","Anax","Anax imperator","Anopheles","Anopheles messeae","Armiger crista","Ascomorpha ecaudis","Asellus aquaticus","Aulodrilus pluriseta","Australapatemon","Bichromomyia flaviscutellata","Bithynia tentaculata","Callicorixa audeni","Canthocamptus","Centroptilum luteolum","Chaetogaster diaphanus","Chaetogaster diastrophus","Chaetogaster limnaei","Chaoborus","Chaoborus flavicans","Chironomidae","Chironomus","Chironomus luridus","Chironomus muratensis","Chironomus nuditarsis","Chironomus pseudothummi","Chironomus riparius","Chromadorea","Chrysops","Cladopelma","Cloeon dipterum","Coenagrion","Coenagrion puella","Coenagrionidae","Colymbetes fuscus","Contacyphon","Contacyphon laevipennis","Corixa punctata","Corixidae","Crangonyx pseudogracilis","Cricotopus","Cricotopus intersectus","Cricotopus sylvestris","Cryptochironomus","Culex","Culicidae","Culiseta annulata","Cyclopidae","Cyclops strenuus","Cymatia","Cymatia coleoptrata","Cymatia rogenhoferi","Cypridopsis vidua","Dactylobiotus parthenogeneticus","Dasybranchus","Dero","Dero digitata","Dero obtusa","Diptera","Dixella aestivalis","Dytiscidae","Einfeldia","Eiseniella tetraedra","Elophila nymphaeata","Enallagma cyathigerum","Endochironomus albipennis","Endochironomus tendens","Enochrus ater","Enochrus bicolor","Enochrus testaceus","Eristalis","Erpobdella octoculata","Erpobdella testacea","Erythromma","Erythromma humerale","Erythromma najas","Eucyclops","Eucyclops serrulatus","Gammarus pulex","Gerridae","Gerris","Gerris gibbifer","Gerris lacustris","Gerris odontogaster","Glossiphonia","Glossiphonia complanata","Glossiphonia concolor","Glossiphoniidae","Glyptotendipes","Gymnometriocnemus","Gyraulus","Gyrinus","Gyrinus marinus","Haliplus","Haliplus obliquus","Haplothrips tenuipennis","Helobdella modesta","Helobdella stagnalis","Helochares lividus","Hesperocorixa","Hesperocorixa linnaei","Hesperocorixa sahlbergi","Hippeutis complanatus","Holocentropus dubius","Holocentropus picicornis","Hybomitra","Hydaticus seminiger","Hydrobius fuscipes","Hydrocyphon deflexicollis","Hydrophilidae","Hydroporus angustatus","Hydroporus palustris","Hygrobia hermanni","Hygrotus impressopunctatus","Hygrotus inaequalis","Hyphydrus ovatus","Hypoderaeum","Ilybius ater","Ilybius fenestratus","Ilybius fuliginosus","Ilyocoris cimicoides","Ilyodrilus templetoni","Ischnura elegans","Keratella","Keratella cochlearis","Keratella quadrata","Kurzia media","Laccobius bipunctatus","Laccophilus minutus","Laccophilus poecilus","Ladona depressa","Lecane bulla","Lecane closterocerca","Libellula quadrimaculata","Limnesia","Limnesiidae","Limnodrilus claparedianus","Limnodrilus hoffmeisteri","Lumbriculus variegatus","Lymnaea stagnalis","Lymnaeidae","Macrocyclops albidus","Macropelopia","Macrothrix","Micropsectra contracta","Microstomum lineare","Microtendipes","Musculium lacustre","Mytilina mucronata","Mytilina ventralis","Naididae","Nais","Nais christinae","Nais communis","Nais elinguis","Nais variabilis","Nepa cinerea","Noterus clavicornis","Notonecta","Notonecta glauca","Notonecta viridis","Ophidonais serpentina","Parachironomus","Parachironomus major","Parachironomus monochromus","Paratanytarsus","Paratanytarsus laetipes","Philodina citrina","Philodina megalotrocha","Physa fontinalis","Physella acuta","Piona variabilis","Pionidae","Pisidium","Pisidium nitidum","Pisidium obtusale","Pisidium subtruncatum","Planorbidae","Planorbis","Planorbis planorbis","Plumatella fungosa","Podura aquatica","Polymerurus rhomboides","Polypedilum","Polypedilum cultellatum","Polypedilum nubeculosum","Potamopyrgus antipodarum","Potamothrix bavaricus","Potamothrix hammoniensis","Pristina jenkinae","Pristina longiseta","Proasellus meridianus","Procladius","Psectrocladius schlienzi","Ptychoptera","Ptychoptera albimana","Ptychoptera contaminata","Ptychoptera minuta","Pyrrhosoma nymphula","Radix auricularia","Radix balthica","Rhantus","Rhantus suturalis","Rotaria","Rotaria magnacalcarata","Rotaria rotatoria","Serratella ignita","Sialis lutaria","Sigara","Simulium","Sphaeriidae","Sphaerium nucleus","Spongillida","Stagnicola","Stenostomum sthenum","Stenus","Stylaria lacustris","Stylochaeta scirtetica","Suphrodytes dorsalis","Suphrodytes figuratus","Sympetrum striolatum","Synchaeta","Synchaeta pectinata","Tabanidae","Tanytarsus","Tanytarsus ejuncidus","Tanytarsus occultus","Tanytarsus pallidicornis","Temnothorax","Testudinella caeca","Tetanocera ferruginea","Thermonectus","Theromyzon tessulatum","Tinodes waeneri","Tipula","Triaenodes bicolor","Trichocerca similis","Trichotria tetractis","Tubifex tubifex","Valvata","Valvata cristata","Valvata piscinalis"
"CAKE",0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,96,0,185,0,0,1182,0,0,0,0,0,0,0,27122,4,2054,0,0,0,186,0,2236,425,11649,0,487,0,0,0,0,44646,551,0,0,0,0,1472,0,0,0,0,0,0,0,0,0,0,0,0,40,4,234,0,4,0,0,0,359,325,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,65,0,0,0,0,0,0,0,8,0,0,0,14246,0,0,0,581,0,0,0,0,0,0,0,0,0,17,0,0,0,0,0,0,43,0,20,0,12764,0,3,0,0,0,0,0,10434,0,0,0,0,0,9,38,0,0,0,0,0,0,0,0,0,0,0,0,211,0,0,0,31,0,0,0,0,1927,0,123,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,2895,3,0,0,0,0,0,2559,0,0,0,0,0,0,0,6008,0,0,0,0,0,0,7550,943,0,0,0,0,0,0,0,0,0,234,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,71,0,0,0
"CHIP",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7441,0,0,0,0,0,0,0,0,0,0,0,0,22676,5055,51045,0,0,0,13170,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,234,0,3485,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,2368,0,0,0,0,0,0,0,0,0,0,0,17,0,0,0,19970,0,0,0,0,0,0,0,0,0,488,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,16,9,0,0,0,0,0,0,0,67695,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3237,177,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,190,0,0,0
"DAN",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10252,0,0,0,0,0,0,0,0,0,0,0,0,24,0,0,0,0,0,0,0,0,0,0,0,830,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,1394,0,0,0,0,0,0,0,0,59892,1176,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9685,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9702,0,0,0,0,0,0,19943,0,0,0,0,0,0,0,0,0,0,0,1576,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18917,0,0,0,5,0,0,0,0,0,0,0,0,0,2295,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"LDUN2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,957,5803,31083,0,0,0,1627,0,0,0,0,0,151,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,0,0,0,93,0,0,0,124,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,704,523,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8808,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2983,0,0,0,58,0,0,0,0,0,0,0,49548,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5118,0,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"LDUN3",0,0,0,0,0,0,0,0,0,0,0,19985,0,0,0,0,0,5798,233,0,6,0,0,0,0,0,0,0,0,0,13407,26,0,0,0,0,0,0,0,0,0,16,6958,0,0,0,0,0,4938,0,8,0,533,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11675,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,508,8455,4,0,0,0,0,0,0,0,0,0,0,0,0,0,9494,0,0,2800,0,28379,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,57,0,0,0,0,0,177,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,243,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,537,0,0,0,0,0,641,0,0,0,0,25,3,0,0,0,0,0,0,20494,0,0,0,0,0,0,0,0,62,0,0,0,955,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0
"POHI",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31729,17,0,0,0,0,0,0,0,0,0,0,0,26569,0,3999,0,0,35,0,0,0,471,3,0,66,0,0,0,0,0,0,2433,0,74,138,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,552,72,0,0,0,0,0,0,74,0,0,0,0,12,0,0,0,0,0,0,9447,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,59,0,3,0,0,0,0,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,51,0,0,832,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,85,32933,0,0,2044,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,132,0,0,0,0,0,0,614,0,80,19554,11882,0,0,0,0,0,0,0,0,0,0,1443,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1028,0,0,0,0,0,433,51,0,0,0,0,0,0,0,0
"RAIL",0,0,0,0,0,0,1123,0,0,1309,0,0,0,0,0,0,0,4,0,1524,0,0,0,0,0,0,0,127,0,0,0,724,0,0,0,0,0,0,0,0,168,14,2559,0,0,0,0,0,5332,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,92,0,0,0,0,0,0,0,0,634,0,0,0,0,0,23,144145,0,0,0,0,0,0,0,0,0,0,0,0,753,7378,52,971,0,0,0,0,0,0,0,0,0,12180,0,0,21069,4,0,0,0,0,0,0,0,0,0,206,0,0,123,6159,0,0,0,0,0,0,4139,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2940,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,303,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,216,0,9596,0,0,0,0,0,0,0,2534,2855,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3319,0,0,0,0,0,0,0,0,0
"SABA",0,0,11865,48792,0,0,0,0,0,0,0,0,0,0,0,179,0,0,0,0,0,0,0,0,0,0,6,13,0,0,6626,7008,33972,220,13,0,0,0,0,0,0,6,2960,0,0,0,0,13258,0,2018,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36,0,0,11531,0,0,3571,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,332,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,822,0,0,0,0,0,0,0,0,0,0,0,0,0,197,0,0,0,0,0,0,0,4938,0,0,0,0,0,0,0,5916,0,0,0,21783,0,601,842,0,0,11,0,0,220,0,21637,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"SKEY1",0,0,7772,21224,0,0,0,0,0,0,0,0,0,0,0,0,0,1428,0,0,0,0,0,0,134,0,0,0,0,0,33,3567,6456,0,0,629,0,0,0,0,2842,181,8395,0,0,0,0,0,871,261,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,32,0,552,353,0,0,0,0,0,0,0,0,0,0,0,23574,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,339,0,0,0,0,0,0,34751,0,0,1266,0,219,0,0,0,0,0,0,0,0,0,0,0,0,1924,0,17409,0,0,0,0,0,0,0,379,0,0,0,0,6685,0,0,0,0,0,16272,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2477,0,0,0,174,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,92,978,0,0,0,0,0,13,0,17,0,0,0,0,0,1325,0,13847,0,12610,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1872,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"THW16",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,129100,0,0,0,0,1326,0,0,0,5,0,0,0,1598,241,138,23,467,0,415,0,0,0,0,0,0,0,0,0,0,0,135,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,769,0,0,0,950,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,0,0,0,0,0,0,0,0,17,0,285,0,0,0,0,0,0,0,0,0,0,0,19,8,55016,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,938,0,0,0,148,0,0,0,103,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2502,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,108,0,664,0,0,0,0,54,0,0,0,0,0,9,1084,0,842
"VALE",0,0,0,0,0,0,0,0,0,0,290,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,5275,3615,627,0,0,0,0,2142,0,0,0,0,105,0,0,773,3010,0,0,4738,0,0,0,0,462,1398,520,0,0,0,0,0,0,0,0,3,0,0,3,0,213,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19070,132,0,0,27398,0,0,0,0,3348,222,0,0,115,328,0,946,0,0,0,52,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2031,0,3,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49,0,0,12276,4649,0,0,68,52093,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"WADD10",0,0,2482,205,34445,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,565,0,0,14,1924,0,0,0,0,0,0,0,0,0,14,4431,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,148,0,0,94,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6310,1239,0,0,0,0,0,0,0,3185,0,0,0,0,0,0,0,0,0,1502,0,245,0,5,0,0,0,0,35,0,0,0,0,0,0,0,0,0,0,0,4004,0,395,0,0,0,0,0,0,0,0,0,0,0,1348,0,0,0,0,0,0,0,0,0,0,0,33762,0,0,0,360,0,0,0,0,0,0,0,0,0,497,1836,10759,2471,0,0,0,0,0,0,0,0,0,0,0,0,6,69,0,0,0,0,0,0,0,0,0,2692,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,654,0,0,0,0,0,0,0,0,0,37,0
"WADD11",0,0,0,759,0,0,0,0,0,0,0,0,0,0,0,0,0,14959,0,3566,0,0,0,0,0,0,7,0,0,0,13627,5072,23,0,0,0,0,0,0,0,0,5,3437,0,0,0,0,0,922,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,72,30,0,0,296,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2086,0,0,0,0,0,4,196,19734,0,0,0,0,0,431,0,0,0,0,0,0,17,5061,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16896,0,0,0,0,0,0,0,0,0,0,0,0,2257,144,0,0,11,0,0,0,0,0,0,0,0,22239,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1365,0,0,0,0,34,0,0,0,0,0,0,0,0,0,0,0,420,0,0,0,0,0,284,0,12520,0,0,0,0,0,0,24722,0,0,0,0,4,0,0,0,0,0,0,0,67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,195,0
"WADD17",1427,28,0,0,0,0,27562,0,0,0,0,0,0,0,0,0,0,427,0,0,0,0,0,0,0,0,0,0,0,0,3882,3793,4,0,0,0,0,0,0,0,0,3,6629,0,0,0,0,265,8347,0,0,0,0,0,0,0,0,0,0,1212,15183,0,0,0,0,157,0,0,0,183,295,0,0,0,2011,0,0,0,0,118,0,0,0,0,0,0,0,0,0,0,0,0,0,86,0,706,0,0,0,0,314,0,0,1730,0,0,0,0,0,0,1661,0,0,0,0,0,0,0,0,0,0,0,3912,0,0,1194,0,0,0,0,8703,0,29,0,0,0,0,0,1587,0,0,0,0,9488,0,51,0,0,0,0,0,0,0,0,0,0,0,1019,0,0,0,9,0,0,0,0,0,4703,0,24796,0,23,0,0,0,0,0,0,0,0,0,0,231,0,39,264,0,0,0,0,0,0,0,4,0,0,0,0,0,0,15,0,10,0,0,0,0,0,0,0,0,0,8642,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"WADD3",0,0,0,0,0,269,0,6222,0,0,0,0,0,14367,0,0,0,0,0,0,0,0,47,0,0,0,11,0,0,0,22479,0,0,0,0,0,0,14,0,0,0,180,14536,0,0,0,0,0,0,0,0,0,297,0,0,0,0,18,0,0,0,0,0,0,0,0,0,16,3162,0,57,0,0,0,0,0,1296,0,0,0,0,91,0,0,0,0,0,0,0,0,2276,47,5254,2271,0,0,0,0,0,0,0,0,0,293,0,0,0,0,0,0,14,21945,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8963,3693,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,0,2728,0,40183,4731,0,0,0,0,0,1371,0,16,0,36055,0,0,0,0,0,0,0,0,0,39,0,0,0,0,0,0,0,0,0,0,0,16,0,0,13,0,0,0,0,0,0,2464,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"WHALL",0,0,0,0,0,0,0,0,0,0,0,0,0,18725,0,0,0,0,0,0,0,30455,0,0,0,0,0,2830,0,0,129,0,0,0,0,0,0,0,0,0,0,0,4226,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15869,0,0,0,0,0,0,0,0,3379,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17433,0,17415,0,1142,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,12949,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,90,19989,0,0,0,0,0,0,0,0,0,24942,0,0,0,0,0,0,0,2151,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"WOOD",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,97,0,0,0,0,0,0,0,0,0,0,0,0,191,7,6,4,28,0,12,0,0,0,0,66,5439,0,0,0,0,5586,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,62982,0,0,0,0,0,0,0,0,0,0,0,88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,66606,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,126,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,9,0,0
"WRONG",0,0,0,0,0,0,0,0,0,0,0,0,0,250,0,0,0,0,0,0,0,0,0,96,0,0,0,0,0,0,0,380,38,0,0,0,0,0,0,0,162,0,992,0,0,0,196,1395,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,106,551,265,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10210,16218,45,83,0,0,0,0,0,63,0,0,0,48647,123,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,4345,0,0,0,0,24626,0,0,0,0,0,0,0,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,11,0,34,0,0,0,0,0,0,0,1429,937,0,0,1217,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,92,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,1939,0,0,21142,0,0,0,0,0,0,0,0,0,0,0,0,0,12655,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14432,0,0,0,0,0,0,0,0,0
